username,full_name,street,city,state,zipcode
Captain Horatio McCallister_0,Captain Horatio McCallister,40041 Felix Grove,Kingmouth,16,42989
Cookie Kwan_1,Cookie Kwan,114 Roob Row,Angelitaburgh,2,18834-4104
Allison Taylor_2,Allison Taylor,582 Marisol Center,Ineshaven,1,84834-8563
Boobarella_3,Boobarella,3438 Hessel Pass,West Keegan,37,86691
Nelson Muntz_4,Nelson Muntz,433 Eryn Club,North Gregside,10,23577-6408
Snake Jailbird_5,Snake Jailbird,9444 Stefan Route,West Bertrand,13,13936
Lionel Hutz_6,Lionel Hutz,795 Eusebio Courts,Port Stewartmouth,16,50064
Princess Kashmir_7,Princess Kashmir,62910 Tyrese Crest,Paytonborough,20,89344-6842
Akira_8,Akira,42411 Wisoky Trafficway,Jamisonview,22,63095
Homer Simpson_9,Homer Simpson,285 Russell Overpass,South Lucas,12,72543-1096
Itchy_10,Itchy,12648 Huel Orchard,West Cindyview,17,10962-0065
Barney Gumble_11,Barney Gumble,91939 Woodrow Squares,D'Amoreside,11,72560
Akira_12,Akira,2194 Kelli Streets,Port Anabelleshire,19,78620
Lunchlady Doris_13,Lunchlady Doris,1557 Fritsch Meadows,West Williamhaven,37,54722-7576
Manjula Nahasapeemapetilon_14,Manjula Nahasapeemapetilon,681 Hodkiewicz Street,Port Kevinbury,46,65939-3898
Luann Van Houten_15,Luann Van Houten,1493 Mann Vista,Ritchiefort,4,74442
Capital City Goofball_16,Capital City Goofball,3724 Lindgren Isle,Alejandrinfort,9,43394-8044
Eddie_17,Eddie,33517 Kuphal Summit,West Thurman,34,38622-2899
Scott Christian_18,Scott Christian,6532 Ella Hollow,South Hallehaven,10,49026-4057
Dr. Velimirovic_19,Dr. Velimirovic,692 Jenkins Shore,East Oswaldotown,7,35512
Capital City Goofball_20,Capital City Goofball,5788 Lebsack Path,Ferryhaven,41,14356
Cesar_21,Cesar,626 Hester Stravenue,New Tomhaven,15,78145-0642
Charlie_22,Charlie,858 Krystal Lights,Lake Vidalchester,24,99836
Lois Pennycandy_23,Lois Pennycandy,94390 Kallie Crossroad,South Koreymouth,32,62878-4905
Luigi_24,Luigi,6454 Belle Walks,North Ashtyn,1,78931
"Mayor ""Diamond Joe"" Quimby_25","Mayor ""Diamond Joe"" Quimby",9927 Volkman Drive,North Mariela,17,38928-9181
Dave Shutton_26,Dave Shutton,69810 Benny Shore,West Delilahborough,44,32285-0870
Mrs. Glick_27,Mrs. Glick,862 Wuckert Junction,Delphafurt,18,90277
Lindsey Naegle_28,Lindsey Naegle,527 Lowe Drives,Lake Joseph,33,67489
Baby Gerald_29,Baby Gerald,44081 Leann Hills,Johanburgh,45,25667
